no_cars,frame,no_cars_time,colours_detected,colours_detected_time,car_type,car_type_time
1,657,0.26954,black,0.001447,hatchback,0.072298
1,658,0.285423,black,0.001459,hatchback,0.072742
1,659,0.205012,black,0.001516,hatchback,0.207897
1,660,0.209375,black,0.001445,hatchback,0.071611
1,661,0.219925,black,0.001485,hatchback,0.072377
1,662,0.206385,black,0.001472,hatchback,0.209696
1,663,0.204022,black,0.001462,hatchback,0.07414
1,664,0.207729,black,0.001473,hatchback,0.072143
1,665,0.199643,black,0.001447,hatchback,0.210945
1,666,0.208486,black,0.00145,hatchback,0.071295
1,667,0.241343,black,0.001478,hatchback,0.077068
1,668,0.202701,black,0.001439,hatchback,0.208102
1,669,0.214008,black,0.001746,hatchback,0.071784
1,670,0.206095,black,0.001467,hatchback,0.073153
1,671,0.218162,black,0.001474,hatchback,0.072698
1,672,0.195902,black,0.001468,hatchback,0.210008
1,673,0.208942,black,0.001446,hatchback,0.07112
1,674,0.20082,black,0.001432,hatchback,0.076394
1,675,0.21887,black,0.001462,hatchback,0.208693
1,676,0.20925,black,0.001458,hatchback,0.072361
1,677,0.286653,black,0.001488,hatchback,0.07129
1,678,0.225994,black,0.001492,hatchback,0.216719
0,679,0.200428,,,,
0,680,0.195731,,,,
0,681,0.203764,,,,
0,682,0.198368,,,,
0,683,0.197396,,,,
0,684,0.270306,,,,
0,685,0.203828,,,,
0,686,0.196009,,,,
0,687,0.277049,,,,
0,688,0.275243,,,,
0,689,0.206458,,,,
0,690,0.198429,,,,
0,691,0.197925,,,,
0,692,0.203849,,,,
0,693,0.200635,,,,
0,694,0.20015,,,,
0,695,0.205426,,,,
0,696,0.2,,,,
0,697,0.19638,,,,
0,698,0.202662,,,,
0,699,0.198549,,,,
0,700,0.199207,,,,
0,701,0.206,,,,
0,702,0.27966,,,,
0,703,0.204636,,,,
0,704,0.264588,,,,
0,705,0.19868,,,,
0,706,0.202637,,,,
0,707,0.201974,,,,
0,708,0.199625,,,,
0,709,0.20168,,,,
0,710,0.200944,,,,
0,711,0.199234,,,,
0,712,0.205687,,,,
0,713,0.199254,,,,
0,714,0.202421,,,,
0,715,0.203601,,,,
0,716,0.200592,,,,
0,717,0.201545,,,,
0,718,0.203909,,,,
0,719,0.20212,,,,
0,720,0.202592,,,,
0,721,0.199112,,,,
0,722,0.274791,,,,
0,723,0.287026,,,,
0,724,0.196791,,,,
0,725,0.1977,,,,
0,726,0.20777,,,,
0,727,0.198606,,,,
0,728,0.209325,,,,
0,729,0.23477,,,,
0,730,0.198022,,,,
0,731,0.200615,,,,
0,732,0.19745,,,,
0,733,0.196274,,,,
0,734,0.290371,,,,
0,735,0.263809,,,,
0,736,0.202155,,,,
0,737,0.201736,,,,
0,738,0.202021,,,,
0,739,0.202352,,,,
0,740,0.200328,,,,
0,741,0.197842,,,,
0,742,0.197895,,,,
0,743,0.200874,,,,
0,744,0.20166,,,,
0,745,0.202546,,,,
0,746,0.200245,,,,
0,747,0.199002,,,,
0,748,0.220018,,,,
0,749,0.216107,,,,
0,750,0.212295,,,,
0,751,0.213575,,,,
0,752,0.212057,,,,
0,753,0.20636,,,,
0,754,0.212227,,,,
0,755,0.208841,,,,
0,756,0.206649,,,,
0,757,0.211145,,,,
0,758,0.208346,,,,
0,759,0.21438,,,,
0,760,0.209798,,,,
0,761,0.209964,,,,
0,762,0.213838,,,,
0,763,0.210978,,,,
0,764,0.208973,,,,
0,765,0.214968,,,,
0,766,0.211466,,,,
0,767,0.207518,,,,
0,768,0.211873,,,,
0,769,0.211772,,,,
0,770,0.21173,,,,
0,771,0.216478,,,,
0,772,0.208489,,,,
0,773,0.206492,,,,
0,774,0.209894,,,,
0,775,0.210153,,,,
0,776,0.209923,,,,
0,777,0.265511,,,,
0,778,0.198621,,,,
0,779,0.205476,,,,
0,780,0.203603,,,,
0,781,0.206572,,,,
0,782,0.213587,,,,
0,783,0.2088,,,,
0,784,0.209771,,,,
0,785,0.215293,,,,
0,786,0.213349,,,,
0,787,0.208178,,,,
0,788,0.209243,,,,
0,789,0.210225,,,,
0,790,0.209102,,,,
0,791,0.207389,,,,
0,792,0.20789,,,,
0,793,0.212668,,,,
0,794,0.212015,,,,
0,795,0.213131,,,,
0,796,0.219526,,,,
0,797,0.211341,,,,
0,798,0.213399,,,,
0,799,0.214133,,,,
1,800,0.211937,blue,0.001533,hatchback,0.073651
1,801,0.209835,blue,0.001664,hatchback,0.074124
1,802,0.202929,blue,0.001525,hatchback,0.209301
1,803,0.222186,blue,0.001457,hatchback,0.07297
1,804,0.204605,blue,0.001457,hatchback,0.073154
1,805,0.287215,blue,0.001453,hatchback,0.072158
1,806,0.200958,blue,0.001452,hatchback,0.213029
1,807,0.204804,blue,0.00143,hatchback,0.07155
1,808,0.198461,red,0.001432,hatchback,0.072386
